antecedent,consequent,support,confidence,lift,count
age_bin=older_adult,quality_bin=high_quality,0.1765,0.8684,1.8044,66
sleep_disorder=Insomnia,quality_bin=medium_quality,0.1872,0.9091,1.7989,70
occupation=Lawyer,age_bin=middle_age,0.123,0.9787,1.7943,46
occupation=Teacher,gender=Female,0.0936,0.875,1.7689,35
age_bin=young_adult,gender=Male,0.2246,0.8936,1.7683,84
occupation=Doctor,bmi_category=Normal,0.1738,0.9155,1.7559,65
occupation=Accountant,quality_bin=high_quality,0.0829,0.8378,1.7408,31
sleep_disorder=Sleep Apnea,gender=Female,0.1791,0.859,1.7365,67
occupation=Lawyer,bmi_category=Normal,0.1123,0.8936,1.7139,42
sleep_duration_bin=short_sleep,quality_bin=medium_quality,0.0856,0.8649,1.7114,32
stress_bin=low_stress,quality_bin=high_quality,0.3102,0.8227,1.7094,116
quality_bin=high_quality,stress_bin=low_stress,0.3102,0.6444,1.7094,116
quality_bin=high_quality,sleep_duration_bin=long_sleep,0.4813,1.0,1.7078,180
sleep_duration_bin=long_sleep,quality_bin=high_quality,0.4813,0.8219,1.7078,180
occupation=Engineer,bmi_category=Normal,0.1497,0.8889,1.7048,56
stress_bin=medium_stress,gender=Male,0.3743,0.8589,1.6996,140
gender=Male,stress_bin=medium_stress,0.3743,0.7407,1.6996,140
occupation=Teacher,age_bin=middle_age,0.0989,0.925,1.6958,37
occupation=Teacher,quality_bin=medium_quality,0.0909,0.85,1.682,34
occupation=Lawyer,sleep_duration_bin=long_sleep,0.123,0.9787,1.6714,46
occupation=Engineer,sleep_duration_bin=long_sleep,0.1604,0.9524,1.6264,60
bmi_category=Normal,sleep_disorder=None,0.4893,0.9385,1.6027,183
sleep_disorder=None,bmi_category=Normal,0.4893,0.8356,1.6027,183
age_bin=young_adult,quality_bin=medium_quality,0.2032,0.8085,1.5999,76
sleep_disorder=Insomnia,age_bin=middle_age,0.1738,0.8442,1.5476,65
occupation=Engineer,sleep_disorder=None,0.1524,0.9048,1.5451,57
occupation=Doctor,sleep_disorder=None,0.1711,0.9014,1.5394,64
occupation=Lawyer,sleep_disorder=None,0.1123,0.8936,1.5261,42
age_bin=young_adult,bmi_category=Normal,0.1979,0.7872,1.5099,74
age_bin=older_adult,sleep_duration_bin=long_sleep,0.1791,0.8816,1.5055,67
bmi_category=Overweight,quality_bin=medium_quality,0.2995,0.7568,1.4975,112
quality_bin=medium_quality,bmi_category=Overweight,0.2995,0.5926,1.4975,112
sleep_disorder=Insomnia,stress_bin=medium_stress,0.131,0.6364,1.4601,49
age_bin=young_adult,sleep_disorder=None,0.2139,0.8511,1.4534,80
bmi_category=Overweight,gender=Female,0.2834,0.7162,1.4479,106
gender=Female,bmi_category=Overweight,0.2834,0.573,1.4479,106
occupation=Accountant,sleep_duration_bin=long_sleep,0.0829,0.8378,1.4308,31
bmi_category=Normal,sleep_duration_bin=long_sleep,0.4332,0.8308,1.4188,162
sleep_duration_bin=long_sleep,bmi_category=Normal,0.4332,0.7397,1.4188,162
stress_bin=low_stress,sleep_duration_bin=long_sleep,0.3102,0.8227,1.405,116
age_bin=older_adult,bmi_category=Overweight,0.1123,0.5526,1.3965,42
steps_bin=low_steps,bmi_category=Normal,0.1684,0.7241,1.3889,63
quality_bin=high_quality,bmi_category=Normal,0.3476,0.7222,1.3852,130
bmi_category=Normal,quality_bin=high_quality,0.3476,0.6667,1.3852,130
occupation=Accountant,sleep_disorder=None,0.0802,0.8108,1.3847,30
sleep_disorder=None,sleep_duration_bin=long_sleep,0.4626,0.79,1.3491,173
sleep_duration_bin=long_sleep,sleep_disorder=None,0.4626,0.79,1.3491,173
gender=Male,bmi_category=Normal,0.3503,0.6931,1.3294,131
bmi_category=Normal,gender=Male,0.3503,0.6718,1.3294,131
sleep_duration_bin=medium_sleep,age_bin=middle_age,0.2273,0.7203,1.3206,85
quality_bin=high_quality,sleep_disorder=None,0.3717,0.7722,1.3188,139
sleep_disorder=None,quality_bin=high_quality,0.3717,0.6347,1.3188,139
occupation=Accountant,steps_bin=medium_steps,0.0989,1.0,1.3031,37
occupation=Salesperson,steps_bin=medium_steps,0.0856,1.0,1.3031,32
occupation=Lawyer,steps_bin=medium_steps,0.1203,0.9574,1.2477,45
gender=Male,sleep_disorder=None,0.3663,0.7249,1.2379,137
sleep_disorder=None,gender=Male,0.3663,0.6256,1.2379,137
stress_bin=medium_stress,age_bin=middle_age,0.2941,0.6748,1.2372,110
steps_bin=low_steps,sleep_disorder=None,0.1684,0.7241,1.2367,63
bmi_category=Overweight,age_bin=middle_age,0.2647,0.6689,1.2264,99
age_bin=middle_age,steps_bin=medium_steps,0.5107,0.9363,1.2201,191
steps_bin=medium_steps,age_bin=middle_age,0.5107,0.6655,1.2201,191
bmi_category=Overweight,steps_bin=medium_steps,0.369,0.9324,1.2151,138
stress_bin=medium_stress,quality_bin=medium_quality,0.2647,0.6074,1.2019,99
quality_bin=high_quality,gender=Female,0.2807,0.5833,1.1793,105
gender=Female,quality_bin=high_quality,0.2807,0.5676,1.1793,105
occupation=Nurse,steps_bin=medium_steps,0.1765,0.9041,1.1782,66
stress_bin=medium_stress,steps_bin=medium_steps,0.3904,0.8957,1.1672,146
gender=Male,quality_bin=medium_quality,0.2968,0.5873,1.1622,111
quality_bin=medium_quality,gender=Male,0.2968,0.5873,1.1622,111
occupation=Teacher,steps_bin=medium_steps,0.0936,0.875,1.1402,35
sleep_disorder=Insomnia,steps_bin=medium_steps,0.1765,0.8571,1.117,66
